event_index,event_title,core_objective,canon_attributes,event_text_verbatim
49,Lucy confronts the receptionist,No material state change occurs.,(none),"INT. THE WAITING ROOM – ALTER REALITY
Lucy blinks. She’s no longer in the parlor.
Cheap vinyl chairs. A buzzing fluorescent light flickers above. A RECEPTION DESK. Empty.
Faceless figures sit frozen in the waiting area. Silent. Breathless.
A CLOCK on the wall TWITCHES instead of ticking.
LUCY (whispers)
Where am I...?
She rises, trembling, moving toward the desk.
A RECEPTIONIST appears. Back turned. Rigid. Hair taut. Suit too tight. Still as stone.
65.
LUCY (CONT’D) I need to leave.
(beat)
I don’t belong here.
The receptionist turns, no face. Just a BLACK, CRACKED MIRROR.
In one shard, JAXTON as a boy. Flashlight in hand, smiling. In another shard, LUCY’S OWN REFLECTION. Crying.
A CLIPBOARD slides toward her. The page blank. A PEN scratches on its own: “WHAT PART OF HIM DO YOU WANT TO KEEP?”
The pen begins sketching JAXTON’S SILHOUETTE before she even touches it.
Lucy staggers back, horrifie"
50,House punishes the group and Jaxton,No material state change occurs.,(none),"INT. PARLOR – REALITY – SAME TIME
CUT TO:
Maverick is dragged from the shattered mirror shards. Bleeding. Shaking.
The ceiling BUCKLES downward. The walls pulse inward, closer. The floor groans like it’s breathing.
KELLY (terrified)
It’s punishing him.
JAXTON (haunted, breaking)
No... it’s showing him.
The MAP curls inward, edges burning.
One word bleeds across in thick black ink: SACRIFICE. The D20 rolls itself. ONE.
JAXTON (CONT’D) (voice breaking)
A critical fail...
HOLLY
(pleading to the house)
Then take me! You hear me? Take ME! Silence. The flames gutter. The map burns again.
66.
A name bleeds across: JAXTON.
Beneath it: “THE STORY BELONGS TO ME NOW.”
The DICE TRAY SPLINTERS. The NARRATOR KING MINIATURE shatters into dust. From the base, a DARK HOLE opens.
LUCAS No. No no no no—
Jaxton steps forward, tears in his eyes. His body shaking like it’s no longer his.
JAXTON (soft)
It was never mine to control... (beat)
But it’s mine now to pay for. HOLLY lunges for him.
HOLLY
No! Don’t you dare! We need you,
Jax! I need you—
Jaxton cups her face. His hand trembles, but his voice steadies.
JAXTON
You gave me family when I had
nothing. You kept me here when I wanted to disappear. I’ll never forget you, Holly. Ever. I love you now, I’ve loved you forever.
He kisses her forehead. Holly collapses into sobs. Jaxton forces a smile through his tears.
JAXTON (CONT’D) (quiet)
I love you guys.
The HOUSE GROANS. Dice scatter across the table. Every single die rolls a ONE.
The MAP flashes: CRITICAL FAILURE. NO ESCAPE."
51,Lucy pleads through the mirror,No material state change occurs.,(none),"INT. THE WAITING ROOM – ALTER REALITY - SAME TIME Lucy pounds the mirror-faced receptionist’s desk.
CUT TO:
67.
LUCY (screaming)
Jax! Jax, don’t you dare leave me again!
On the cracked mirror, JAXTON’S FACE PRESSES against the glass from the other side, suffocating, blurred in smoke.
Lucy SLAMS the glass, sobbing.
LUCY (CONT’D) (crying out)
Forever twins, remember? You promised! You promised, Jax!
INT. PARLOR – REALITY / ALTER REALITY
Jaxton glances upward, as if hearing her through the walls.
JAXTON (soft)
I hear you, Luce. Always.
He steps toward the smoke. The void PULLS him, but it does not close. His chair remains, empty. A hollow absence"
52,Lucy opens the next door,No material state change occurs.,(none),"INT. THE WAITING ROOM – ALTER REALITY Lucy SCREAMS, clawing at the glass.
LUCY (devastated)
I told you I’d protect you! I told you—
The receptionist turns. Mirror face etched with a single word: CONTINUE.
The clipboard writes: “THE NEXT DOOR IS OPEN.”
Lucy shakes, breaking. She grips the door handle, carved with a SPIRAL around an EYE.
She sobs, then turns it."
53,Kelly offers herself and disappears,No material state change occurs.,(none),"INT. PARLOR – REALITY – SAME TIME
The group collapses in shock. Holly sobs uncontrollably, clutching Jaxton’s empty chair. Maverick smashes his fist into the floor, bloodied. Lucas can’t breathe.
Kelly clutches the TIMEPIECE like it’s burning her hand.
KELLY (whispers) Puck... help us.
Nothing.
Then—MAVERICK CONVULSES. His throat bulges. Black mist seeps out.
Holly and Lucas panic.
HOLLY MAV! What’s wrong?!
MAVERICK (choking)
It’s inside—
He sees his SHADOW SPLIT. Another him. Grinning.
MAVERICK (CONT’D) Get it out of me!
Lucas grabs him.
LUCAS Hold on, Mav!
Kelly steps forward, tears streaming, clutching the TIMEPIECE.
KELLY (to herself)
It’s me. It’s always been me.
She kneels, pressing the TIMEPIECE to Maverick’s chest.
KELLY (CONT’D) You want a toll?
(beat)
Fine. I’m offering it.
MAVERICK convulses harder. TICKING RETURNS. FAST. LOUD.
69.
MAVERICK
What are you doing—KELLY, STOP—
Don’t trade for me—DON’T—
A cold wind rips through the parlor. Lights EXPLODE.
HOLLY (screaming)
KELLY!
Kelly’s hair lifts. Eyes shimmer silver.
KELLY (whispers)
Protect them.
From behind, PUCK MANIFESTS. A ghost half-formed. Eyes like shattered mirrors.
PUCK (inhuman)
The balance is kept. He touches her shoulder.
COMPLETE DARKNESS.
When LIGHT RETURNS. KELLY IS GONE.
Only the TIMEPIECE remains. Ticking beside a BLACK SCORCH MARK.
HOLLY (sobbing)
No—no no no—KELLY!
She collapses. Her sobs shatter the others. Lucas shakes, horrified.
MAVERICK (whispers, broken)
She saved me. TICK. TICK. 9:13. GLOWING.
The timepiece SLIDES toward HOLLY. She backs away.
HOLLY (crying)
No, please. Don’t pick me—
It glows brighter. An unnatural, searing BLU"
54,Older voice taunts as map changes,No material state change occurs.,(none),"70.
HOLLY (CONT’D) (broken)
I don’t want to die.
The TICKING grows LOUDER. Like a countdown.
Suddenly— A LAUGH. Low. Layered. Ancient. Vibrates through the walls like a war drum. NOT PUCK. Something OLDER. HUNGRIER.
PARASITIC WHISPER (O.S.) It can’t protect you.
The MAP IGNITES. A new section scorches into the table: THE PROJECTION ROOM.
CUT TO:"
55,Lucy is forced to watch reels,No material state change occurs.,(none),"INT. THE PROJECTION ROOM – ALTER REALITY
A claustrophobic chamber. Walls the color of nicotine. The BUZZ of a dying ballast. Dust spirals inside a thin cone of projector light.
Six metal CHAIRS face a stained SCREEN. No one sits in them. Yet.
Behind Lucy, ancient 16mm REELS HUM. Tape slaps. A stutter that’s almost a heartbeat.
ONSCREEN: LITTLE LUCY (5) screams into a pillow, shoulders shaking.
LUCY
No.
The REEL swaps by itself.
ONSCREEN: TEEN LUCY argues with her PARENTS. Storms out. The door hits the frame. JAXTON lingers on the stairs, a D20 in his hand. Tears streak his face.
PARASITIC VOICE (O.S.)
Watch.
Lucy inches closer, breath fogging in the projector’s beam.
ONSCREEN: BASEMENT. Jaxton older holds that same D20 like a relic.
JAXTON (O.S.)
Lucy said she’d play. She promised.
71.
Lucy’s hand clamps her mouth. Cut. Flicker. Jam.
ONSCREEN: LUCY in a hallway. She glances back. Keeps walking. Behind her, Jaxton’s silhouette shrinks.
JAXTON (O.S.) (CONT’D) You never kept your promise!
The AUDIO WARPS, as if drowning. The FRAME BUBBLES— BLACK.
Then, JAXTON’S FACE APPEARS. Not film. Real. Too close. The light catches wet eyes.
JAXTON (O.S.) (CONT’D) You left me in the dark. You lied.
The celluloid IGNITES. Flame eats him to "
56,Jaxton faces cards in the void,No material state change occurs.,(none),"INT. THE VOID – ALTER REALITY
CUT TO:
Infinite dark. A sliver of stage light drops from nowhere.
A TABLE. A DM SCREEN.
Jaxton sits behind it, alone. Cards spread like a ritual circle.
His hand shakes as he flips the first: LUCY’S PHOTO (10) taped to cardstock. THE CARD: “THE RETURN.”
PARASITIC VOICE (O.S.) She’s watching now. But so am I.
The VOID SHUDDERS. Five more CARDS slide into place. One face- down card pulses faintly: “THE END.”
PARASITIC VOICE (O.S.) (CONT’D) Finish the story.
Jaxton swallows. Doesn’t flip"
57,Lucy names betrayal and bleeding,No material state change occurs.,(none),"INT. THE PROJECTION ROOM – ALTER REALITY
The SCREEN is a dead square. The PROJECTOR HUMS.
CUT TO:
72.
A TABLE SLAMS down in front of Lucy. Dust blooms like breath.
Six chairs. Burned paper. DICE etched with hairline cracks. Bone carved MINIS that don’t quite hold still.
PARASITIC VOICE (O.S.) You’ve always watched. Now... they’re
watching you.
The seats FILL with SHADOWS, featureless but familiar in posture. They all TURN to Lucy.
SHADOWS (IN LUCY’S VOICE) Say the words, Lucy. Say it so it’s
real.
The burned paper quivers.
New ink crawls across like veins:
“ONE MUST BETRAY. ONE MUST BLEED.”
“SPEAK. OR THEY ALL FALL.”
Lucy’s fingers dig into the table edge until her knuckles go bloodless.
LUCY (shaking)
I’m not part of this. I’m not—
PARASITIC VOICE (O.S.) Speak the choice. Name the traitor.
Name the blame. The SCREEN FLARES to life.
MIDDLE SCHOOL: MAVERICK shoulder checks Jaxton, grinning for a crowd.
A DARK CORNER: HOLLY kisses Jaxton, then pulls away like she burned herself.
A STAIRWELL: LUCAS, whispering to Holly, “Jaxton doesn’t care.” He does.
Lucy staggers, fury and shame warring behind her eyes.
LUCY Stop. Stop—
Say it.
PARASITIC VOICE (O.S.)
73.
The SHADOWS LEAN IN. The projector BUZZ drills her skull.
LUCY (breaking open)
Holly betrays him. Maverick bleeds. A jagged CRACK fractures the screen.
WHITE detonation"
58,Lucy wakes; accusations and effects begin,No material state change occurs.,(none),"INT. PARLOR – REALITY – SAME TIME
SMASH CUT TO:
Lucy GASPING awake, face down on warped hardwood. The room has SHRUNK, ceiling sagging low, BLACK WATER threading down like veins, breathing with the house.
HOLLY, LUCAS, and MAVERICK stand over her.
HOLLY (numb)
We heard you.
MAVERICK (quiet, dazed)
What did you do?
The TIMEPIECE lies beside Lucy, TICKING IN REVERSE. 9:13... 9:12... 9:11... then slams back to 9:13.
LUCY (choking)
It made me choose, I didn’t—
LUCAS You chose us.
The tablet flickers to a live feed that isn’t theirs. ON-SCREEN COMMENTS CASCADE:
**“get ready to watch him bleed.”**
**“roll again.”**
**“traitor marked.”**
Lucy crawls back, wrecked.
HOLLY (voice shaking)
Say it again. What you said.
74.
LUCY (pleading)
It wasn’t real— the room — it put the words—
MAVERICK (anger cracking)
You picked me to bleed.
LUCY (raw)
I didn’t want to!
HOLLY (disbelief)
You looked at me when you said “betray.” You didn’t blink.
LUCAS Guys—
The TIMEPIECE SPINS. Faster. Louder. The DICE lift and HOVER.
LUCAS (CONT’D) It’s doing it again—
Maverick’s nose starts to BLEED. Then his ears. He looks at his palm as a long, ragged TEAR opens across the lifeline, bleeding like a mouth.
MAVERICK (scream)
AHHHH—
He staggers backward, leaving a red trail."
59,Maverick bleeds and enters mirror room,No material state change occurs.,(none),"INT. HALLWAY – REALITY – CONTINUOUS
Maverick stumbles through the corridor, hand clamped, bleeding, disoriented. The HOUSE seems to lean him toward a specific door.
He SLAMS through it—
INT. MIRROR ROOM – ALTER REALITY – CONTINUOUS
Bare. Dim. No windows. No furniture. Just the bulb’s FLICKER and an ANTIQUE MIRROR leaning on the far wall.
Maverick steadies himself against it, breathing hard.
75.
MAVERICK (to himself)
Get it together, Mav. Come on— He looks up.
JAXTON stares back from the mirror with black, bottomless eyes. Smiling wrong.
MIRROR JAXTON (almost gentle)
You know why she picked you. Maverick spins. Empty room.
Back to the mirror, only his reflection now... but his REFLECTION’S EYES BLEED.
Behind him (mirror-only), SCHOOL PHOTOS materialize and hang in the air like evidence:
- Jaxton alone at lunch. — Holly’s secret kiss.
— Lucas scrolling a chat where Maverick’s texts are screenshotted and laughed at.
— Maverick’s unsent draft to Lucas: “I think it’s you. It’s always been you.”
MAVERICK (terrified)
Stop. Please—
The bulb stutters. The ROOM BREATHES.
The photos PEEL AWAY. The mirror goes OILY BLACK. JAXTON APPEARS AGAIN — wronger. Smile cutting too wide.
MIRROR JAXTON You can leave. Just pick.
MAVERICK (cracking)
Pick...?
MIRROR JAXTON Who dies next.
A slick SILVER DOOR rises open in the wall. It reflects nothing.
76.
No.
MAVERICK
MIRROR JAXTON
One word. That’s all. Say the name.
The mirror flashes a fusillade: LUCY’S blood-slick hands... HOLLY burying her face after the kiss... LUCAS’s lie... JAXTON’S empty chair.
MAVERICK (sobbing)
Stop—
MIRROR JAXTON (soft, relentless)
SAY IT.
Maverick drops to his knees. Fingers in his hair, nails tearing scalp. Blood patters the floor.
MAVERICK
(a ruined whisper)
...Holly.
The SILVER DOOR CREAKS open.
Maverick staggers toward it, freezes.
IN THE MIRROR, HOLLY convulses, eyes rolling, a line of bright red threading down her lip.
BLACK.
MAVERICK (CONT’D) (shocked)
No... I didn’t mean—
MIRROR JAXTON You didn’t choose.
(beat)
You confessed."
60,Return to parlor around the table,No material state change occurs.,(none),"INT. PARLOR – SAME TIME
The group surrounds the table.
Lucy still shaking, her hands stained red. Lucas watches the dice trembling in the tray.
77."
61,Holly convulses and dies,No material state change occurs.,(none),"LUCAS (low, unsettled)
Something’s wrong.
HOLLY (urgent, breaking)
Where is he?
Suddenly—HOLLY GASPS. Her eyes widen. She clutches her chest.
HOLLY (CONT’D) I— I can’t—
She collapses to her knees. Chokes. BLOOD spills from her mouth.
LUCY (screaming)
HOLLY!
Her fingers twist unnaturally, joints locking backwards. Blood streams from her nose, her ears.
Lucas drops beside her, frantic.
LUCAS
She’s seizing—HELP HER!
The dice RATTLE on the table. The MAP bleeds VEINS of BLACK INK.
LUCY (pleading)
Please, please make it stop!
Holly’s body jolts. Once. Twice. Then... still.
Her chest deflates. A final shudder.
A single drop of blood lands on the TIMEPIECE.
It glows. Then fades.
Silence.
HOLLY lies motionless. Eyes open. Staring.
Lucy kneels beside her. Shaking. Hands soaked in red."
62,Maverick arrives; Lucas erupts,No material state change occurs.,(none),"FOOTSTEPS. Maverick enters from the hall, stopping cold when he sees Holly’s body.
78.
MAVERICK (shattered)
...No.
Lucas cradles Holly, rocking her like she might wake.
LUCAS (raw)
She’s dead.
Maverick freezes, horror spreading across his face.
MAVERICK (voice cracking)
I didn’t—
Lucas rises slowly. FIRE in his eyes.
LUCAS (snarling)
But you said it.
Lucy stumbles between them, hands out.
LUCY (desperate)
He didn’t mean to. Lucas, it made him—
LUCAS
It’s always making us.
He SCREAMS. Kicks the table. Miniatures FLY, as dice scatter like teeth across the floor.
The MAP PULSES. A deep HEARTBEAT in the wood.
The livestream glitches. Faces in the chat warp into static mouths.
MAVERICK (hollow, broken)
It’s not asking anymore. WHISPERS crawl through the room.
PARASITIC WHISPERS (O.S.) Lucy. Maverick. Lucas.
Maverick steps forward, trembling.
MAVERICK (to the house) Take m"
63,Timepiece reverses; Lucy states entry,No material state change occurs.,(none),"The TIMEPIECE TICKS, backwards. Faster. Louder.
LUCAS (spitting)
It’s her. It picked her. Everyone stares at Lucy.
LUCY (quiet, haunted)
Maybe it let me in because it already knew.
MAVERICK Let you in?
LUCY
(a whisper, breaking)
No one asked how I got inside. (beat)
I didn’t break in. The window opened for me. Like it was waiting.
A silence heavier than air itself.
LUCAS (realization)
What if this whole thing... was meant for you?
TICK. TICK. 9:13. The sound echoes like a funeral bell."
64,Rules card rises and crumbles,No material state change occurs.,(none),"INT. PARLOR – REALITY – MOMENTS AFTER HOLLY’S DEATH The room is paralyzed.
Lucy wipes Holly’s blood from her hands.
Maverick can’t meet Lucas’s eyes.
The map pulses faintly, flickering like skin stretched too thin.
On the table, the TIMEPIECE glows.
A CARD slowly RISES from the map.
Black ink across its face: “THE RULES.”
The lights dim. The house RUMBLES, like it’s clearing its throat.
80.
LUCY (reading it, soft)
“Start a story. Reveal the wound. Pay the cost. Only then can you end it.”
The card CRUMBLES to ash in her hands. They stare at the soot drifting down.
LUCY (CONT’D) (whispers, horrified
clarity)
That’s what it’s doing.
(beat)
It’s not just killing us. It’s... playing through us.
LUCAS (rage boiling)
Bullshit. That’s not a rule. That’s a curse.
Maverick swallows. Silent. His eyes wet.
MAVERICK (almost to himself)
Maybe it’s both.
LUCY (remembering, breaking)
Jaxton said... it only moves if we give it something true.
Silence. The weight of it pins them all. The TIMEPIECE ticks once. TICK.
The stream overlay glitches. For a single frame: “START A STORY. REVEAL THE WOUND. PAY THE COST. ONLY THEN CAN YOU END IT.”
Then gone.
The table bleeds. Dice split. A single word glows in red: WITNESS.
The group is frozen.
Then, a faint MECHANICAL WHIRR.
LUCAS What is that..."
65,VHS appears; past game night deaths,No material state change occurs.,(none),"LUCY (quietly) That sound...
They follow it.
INT. DEN – REALITY - MOMENTS LATER
An OLD CRT TELEVISION sits in the corner. Dusty. Dead for decades.
Beneath it, a VHS PLAYER whirs. The machine EJECTS a tape. Label: “MILLER GAME NIGHT.” Maverick stares, paling.
MAVERICK (whispers)
That... wasn’t here before.
Lucy, shaking, takes the tape. Slides it back in. Presses PLAY.
The screen hisses with STATIC.
INT. RED HALLOW LODGE – VHS FOOTAGE – NIGHT (1990)
A grainy, flickering video. Children crowd a living room. Pizza boxes, birthday balloons, a D&D board spread across the carpet.
They laugh. Roll dice.
One boy in a wizard hat, JAMES MILLER (14), leans forward.
JAMES
(ghostly through static)
Okay, you found the locked door. It whispers to you...
Behind him, THE LIGHTS FLICKER.
The camera jitters. Another teen SCREAMS.
The room TILTS sideways. The lens distorts.
One kid convulses violently. Another gasps for air. PANIC erupts. Parents rush in—
82.
The feed distorts, faces stretched, voices warped.
CUT TO BLACK.
INT. DEN – REALITY - PRESENT - SAME TIME The group stands frozen.
The screen glows with STATIC.
A faint RED LIGHT blinks on the VCR: *REC.*
MAVERICK (staggered, horrified)
They died here...
LUCAS
And it filmed itself.
They stand in silence.
The whirring tape recorder seems to breathe. The house itself is"
66,Jaxton chooses and is consumed,No material state change occurs.,(none),"INT. VOID ROOM – ALTERED REALITY
A table. Darkness pressing from every angle.
A single SPOTLIGHT isolates JAXTON. He looks hollowed out, barely standing.
Scattered before him: burned notes, torn maps, the melted remains of miniatures.
One CARD lies facedown. It PULSES, faint light bleeding beneath it.
Letters etch across its back: “THE FINAL MOVE: JAXTON WILLIS.”
His eyes blur with tears. He flips it.
CARD: “THE STORYTELLER.” A blank silhouette stares back.
Beneath it, scorched into the table: “START A STORY. REVEAL THE WOUND. PAY THE COST. ONLY THEN CAN YOU END IT.”
JAXTON (choked)
It’s not a game. It’s a possession.
83.
A voice coils through the void, too many tones in one.
PARASITIC VOICE (O.S.) One must finish the story. One must
remain. Choose. Surrender... or rewrite.
A second card forms beside it. Its back already smoking: “THE SACRIFICE.”
JAXTON (soft)
I brought them here. (beat)
And I’ll bring them home. He lays his hand flat on the table.
The card IGNITES. A fire without heat, light without mercy. The table pulses red. The room begins to UNRAVEL.
JAXTON (CONT’D) Then here’s the truth—
Stories don’t end because they finish.
(beat)
They end when we finally admit they were real. That they mattered.
The table SHUDDERS. Cards curl to ash. Dice combust to dust.
JAXTON (CONT’D) That’s the cost, isn’t it?
Truth.
The final card flips one last time. A CRACK tears the room in two. The FEEDER SCREAMS somewhere beyond.
WHITE LIGHT CONSUMES JAXTON."
67,Jaxton returns; states final move,No material state change occurs.,(none),"INT. PARLOR – REALITY – MOMENTS LATER
The MAP RIPS in half. Dice EXPLODE. Wesley’s tablet glitches and DIES. The air drops twenty degrees.
Lucy, Maverick, and Lucas stare at the ruin. Silent. All hope lost.
Suddenly-
JAXTON STEPS OUT OF THE AIR.
Pale. Thinner. Eyes glowing faintly. But ALIVE.
84.
LUCY (soft)
Jax...?
JAXTON
There’s still one move left.
The TIMEPIECE TICKS. 9:13. Unstoppable.
JAXTON (CONT’D) Someone stays. Or no one leaves.
A silence so heavy it could break bone.
MAVERICK
I’ll do it. I made the first roll.
LUCAS
No. It’s not after you.
LUCY Stop.
She steps forward, trembling.
LUCY (CONT’D)
It let me in first. Chose me before
any of this.
JAXTON
No, Lucy. You weren’t chosen to
die. (beat)
You were chosen to remember. She shakes her head, devastated.
LUCY
I don’t want it.
JAXTON That’s why it’s yours.
(beat)
You weren’t meant to survive. You were meant to carry it.
He moves to the center of the parlor. The table REBUILDS itself from ash. Cards rise again, dripping ink.
JAXTON (CONT’D) "
68,Jaxton says goodbye and surrenders,No material state change occurs.,(none),"LUCY
(tears streaming)
Jax, please don’t go...
Jaxton turns to each of them, broken but resolute.
He takes HOLLY’S empty chair in his hand, stroking it once. His voice cracks.
JAXTON
(to her absence)
You were the light I never deserved.
He pulls MAVERICK into a rough embrace.
JAXTON (CONT’D)
You were the brother I wanted to
fight with forever. Keep laughing, Mav. Even when it hurts. Especially then.
Maverick crumbles.
He grips LUCAS by the shoulders, locking eyes.
JAXTON (CONT’D)
You saw me when no one else did.
Don’t carry my silence, Lucas. Speak louder than I ever could.
Lucas BREAKS, sobbing, clinging to him.
Finally, Jaxton looks at LUCY. Everything in him is breaking.
JAXTON (CONT’D) (to Lucy)
You gave me a world when ours ended. You kept me alive when Mom and Dad couldn’t. I love you, Luce. Always.
LUCY
Please... don’t make me lose you
again.
He kisses her forehead. Pulls back. Tears streaming down both their faces.
JAXTON
My name is Jaxton Willis.
I started the story. (beat)
And I’m ending it.
86.
He turns to the air. His voice steady now, but soft—like prayer.
JAXTON (CONT’D) I surrender.
I rewrite. I stay.
The FEEDER SHRIEKS.
Jaxton is SWALLOWED by the light. Gone. The LODGE goes SI"
69,Survivors leave at dawn,No material state change occurs.,(none),"INT/EXT. PARLOR – REALITY - DAWN
The front door CREAKS open. Lucy, Maverick, and Lucas step out into faint morning light. Their faces empty. Destroyed.
Behind them, the lodge is still. Dead.
A BLACK CROW perches on the gatepost. Watches. Then FLIES.
INT. PARLOR – CONTINUOUS
Empty. Ash and ruin.
A single MINIATURE tips over, Jaxton’s NEON-BEARDED GOBLIN"
70,Feeder speaks beneath the house,No material state change occurs.,(none),"INT. CRAWLSPACE – BENEATH THE HOUSE – SAME TIME
Dark. A slow PULSING HUM. Like a heart too old to stop.
Blackened SHADOW ROOTS twitch in the soil. In their center: THE PARASITIC DEMON. THE FEEDER.
Its form is shifting, face always changing, eyes empty yet endless.
It PULSES in shades of BLACK, speaking in vibration.
PARASITIC DEMON (V.O.) Another story told. Another door
opened. (beat)
Not yet free. But closer.
A root finds a crack. Reaches upward. Toward the palor."
71,Livestream continues; chat threatens,No material state change occurs.,(none),"INT. PARLOR – REALITY - LATER
The tablet screen FLICKERS. STILL STREAMING. Text overlay: “LIVE • 1 viewer.”
CHAT: USER_0001 has entered the room.
A second line—glitched:
CHAT: Who’s next?
FAINT AUDIO: CHILD’S LAUGHTER.
A darkness seeping into the STREAM."
72,Weeks later: Lucy grieves and investigates,No material state change occurs.,(none),"INT. LUCY’S APARTMENT – NIGHT – WEEKS LATER
Lucy sits in silence. Her apartment dark. Funeral programs scattered on the table. Photos of Jaxton, Holly, Wesley, Kelly, Billy.
Candles half-melted. A framed photo: Jaxton at ten, bone D20 in hand. Lucy behind him.
LUCY (V.O.)
After our parents died, it was just
me and Jax. I promised I’d take care of him.
(beat)
And I broke that promise.
She turns a notebook filled with SPIRALS.
Questions scrawled in frantic hand: “Who made the game?”, “Why me?”, “What’s the cost?”
LUCY (V.O.)
I can’t sleep. The spiral, it’s
everywhere. It followed me out of the house.
She opens a drawer. Pulls out the CRACKED TIMEPIECE. Still ticking.
LUCY (V.O.)
Sometimes I hear him. Puck. Endings
cost what truth won’t spare.
A whisper in the corners. The faint scrape of dice.
FADE TO BLACK.
She flips to a page in her journal. Names. Dates. The spiral over and over.
LUCY (V.O.)
I thought it ended in that house.
But stories like this... they don’t end. They echo.
(beat)
And I’m going to find out how.
She shuts the journa"
73,Timepiece stops; session teaser,No material state change occurs.,(none),"INSERT: THE TIMEPIECE ON THE TABLE. 9:13. TICK— 9:14. The ticking stops.
“SESSION TWO” —COMING SOON—
FADE TO BLACK. TEXT ON SCREEN"
